汉明距离,fp余弦值,降维余弦值,集合相似度,ENSD相似度,特征数量
13,.583,.404,.166,.000,278,528
14,.500,.440,.106,.055,278,218
14,.500,.182,.070,.000,278,97
15,.483,.040,.080,.114,278,92
16,.501,.219,.066,.103,145,156
13,.537,.308,.062,.000,145,198
12,.647,.329,.040,.113,145,162
17,.485,-.071,.080,.000,145,323
12,.647,.340,.123,.083,145,528
9,.713,.650,.266,.443,145,218
13,.583,.541,.531,.708,145,97
12,.626,.165,.053,.000,145,92
9,.653,.552,.074,.000,156,198
14,.564,.281,.073,.140,156,162
9,.710,.355,.081,.000,156,323
10,.689,.504,.113,.089,156,528
13,.552,.209,.039,.000,156,218
15,.483,-.021,.042,.000,156,97
16,.467,.019,.017,.000,156,92
15,.460,.303,.093,.171,198,162
12,.553,.123,.060,.000,198,323
13,.537,.331,.136,.000,198,528
16,.338,.295,.061,.000,198,218
10,.592,.115,.047,.000,198,97
15,.408,.310,.067,.167,198,92
13,.606,-.021,.023,.000,162,323
12,.647,.165,.075,.186,162,528
13,.583,.209,.048,.000,162,218
15,.519,.128,.040,.000,162,97
12,.626,.182,.083,.154,162,92
9,.728,.566,.105,.100,323,528
18,.401,-.077,.073,.000,323,218
18,.401,-.043,.042,.000,323,97
19,.387,-.239,.022,.000,323,92
13,.583,.323,.082,.000,528,218
17,.454,.227,.092,.000,528,97
20,.376,-.103,.048,.000,528,92
14,.500,.585,.312,.721,218,97
15,.483,-.018,.058,.000,218,92
17,.414,-.101,.048,.000,97,92
8,.751,.291,.137,.593,51,40
12,.647,.309,.171,.569,51,133
12,.647,.298,.174,.622,51,139
14,.588,.260,.172,.627,51,135
14,.588,.211,.161,.590,51,163
14,.588,.260,.159,.620,51,171
18,.471,.018,.103,.220,51,19
16,.501,.094,.049,.046,40,133
18,.438,.132,.070,.000,40,139
18,.438,.104,.072,.064,40,135
18,.438,.209,.079,.303,40,163
18,.438,.205,.072,.154,40,171
18,.438,.210,.211,.613,40,19
2,.941,.987,.970,1.000,133,139
2,.941,.992,.969,1.000,133,135
2,.941,.945,.895,1.000,133,163
2,.941,.963,.895,1.000,133,171
12,.647,.537,.174,.570,133,19
2,.941,.990,.983,1.000,139,135
4,.882,.950,.907,1.000,139,163
4,.882,.966,.913,1.000,139,171
10,.706,.604,.255,.749,139,19
2,.941,.962,.906,1.000,135,163
2,.941,.972,.912,1.000,135,171
10,.706,.601,.251,.733,135,19
0,1.000,.990,.975,1.000,163,171
10,.706,.680,.254,.621,163,19
10,.706,.641,.254,.673,171,19
7,.800,.557,.349,.520,206,146
10,.722,.393,.122,.100,206,647
6,.833,.705,.464,.568,206,156
13,.609,.440,.123,.100,206,644
10,.707,.622,.060,.000,206,222
7,.800,.667,.287,.252,206,135
15,.548,.211,.054,.100,206,507
12,.648,.430,.173,.221,206,114
11,.640,.425,.152,.100,206,437
13,.609,.427,.074,.000,206,286
13,.609,.393,.082,.100,206,359
12,.596,.392,.089,.000,206,140
15,.572,.279,.117,.100,146,647
7,.800,.660,.360,.713,146,156
10,.689,.554,.081,.166,146,644
13,.606,.359,.055,.000,146,222
10,.706,.518,.336,.278,146,135
20,.376,.147,.055,.100,146,507
15,.546,.304,.174,.168,146,114
16,.439,.384,.137,.100,146,437
12,.626,.455,.065,.114,146,286
10,.689,.477,.078,.199,146,359
9,.690,.487,.040,.091,146,140
14,.611,.177,.100,.100,647,156
11,.669,.542,.182,.194,647,644
8,.766,.574,.113,.000,647,222
9,.743,.412,.068,.100,647,135
11,.669,.417,.161,.100,647,507
16,.530,.124,.092,.230,647,114
9,.711,.611,.211,.315,647,437
15,.548,.294,.121,.000,647,286
11,.669,.369,.116,.100,647,359
14,.522,.396,.065,.203,647,140
9,.730,.467,.086,.100,156,644
10,.707,.398,.031,.000,156,222
9,.743,.454,.275,.529,156,135
17,.487,.033,.047,.100,156,507
12,.648,.366,.178,.100,156,114
13,.569,.371,.102,.100,156,437
9,.730,.398,.051,.000,156,286
9,.730,.524,.080,.100,156,359
8,.745,.410,.067,.000,156,140
11,.645,.527,.249,.109,644,222
10,.689,.557,.067,.100,644,135
12,.600,.566,.243,.100,644,507
15,.516,.251,.061,.167,644,114
10,.623,.775,.321,.527,644,437
6,.800,.766,.391,.510,644,286
0,1.000,.847,.540,.808,644,359
7,.735,.605,.270,.559,644,140
7,.788,.528,.032,.000,222,135
13,.581,.419,.181,.100,222,507
12,.625,.425,.035,.000,222,114
11,.603,.567,.190,.000,222,437
11,.645,.484,.309,.100,222,286
11,.645,.388,.211,.000,222,359
14,.474,.284,.190,.000,222,140
12,.626,.459,.036,.100,135,507
7,.788,.308,.179,.100,135,114
8,.731,.504,.083,.100,135,437
10,.689,.442,.053,.000,135,286
10,.689,.389,.055,.100,135,359
11,.614,.306,.043,.000,135,140
17,.452,.179,.050,.200,507,114
12,.545,.470,.157,.200,507,437
14,.533,.359,.138,.200,507,286
12,.600,.328,.166,.200,507,359
15,.408,.227,.099,.100,507,140
11,.603,.370,.087,.349,114,437
11,.645,.133,.062,.100,114,286
15,.516,.197,.065,.200,114,359
14,.474,.223,.070,.243,114,140
12,.545,.576,.268,.351,437,286
10,.623,.693,.297,.371,437,359
9,.572,.596,.203,.619,437,140
6,.800,.669,.383,.898,286,359
11,.572,.394,.385,.690,286,140
7,.735,.673,.329,.714,359,140
